,t_idx,yaw,orientation,commanded_orientation,time
0,0,0.0,270.0,270.0,0.0
1,1,0.0,270.0,270.0,0.0
2,0,90.0,0.0,0.0,4.0
3,1,90.0,0.0,0.0,4.0
4,0,90.0,0.0,0.0,8.0
5,1,90.0,0.0,0.0,8.0
6,0,90.0,0.0,0.0,12.0
7,1,90.0,0.0,0.0,12.0
8,0,90.0,0.0,0.0,16.0
9,1,90.0,0.0,0.0,16.0
10,0,90.0,0.0,0.0,20.0
11,1,90.0,0.0,0.0,20.0
12,0,110.0,20.0,20.0,24.0
13,1,90.0,0.0,0.0,24.0
14,0,110.0,20.0,20.0,28.0
15,1,90.0,0.0,0.0,28.0
16,0,110.0,20.0,20.0,32.0
17,1,90.0,0.0,0.0,32.0
18,0,110.0,20.0,20.0,36.0
19,1,90.0,0.0,0.0,36.0
20,0,110.0,20.0,20.0,40.0
21,1,90.0,0.0,0.0,40.0
22,0,110.0,20.0,20.0,44.0
23,1,90.0,0.0,0.0,44.0
24,0,110.0,20.0,20.0,48.0
25,1,90.0,0.0,0.0,48.0
26,0,110.0,20.0,20.0,52.0
27,1,90.0,0.0,0.0,52.0
28,0,110.0,20.0,20.0,56.0
29,1,90.0,0.0,0.0,56.0
30,0,110.0,20.0,20.0,60.0
31,1,90.0,0.0,0.0,60.0
32,0,110.0,20.0,20.0,64.0
33,1,90.0,0.0,0.0,64.0
34,0,110.0,20.0,20.0,68.0
35,1,90.0,0.0,0.0,68.0
36,0,110.0,20.0,20.0,72.0
37,1,90.0,0.0,0.0,72.0
38,0,110.0,20.0,20.0,76.0
39,1,90.0,0.0,0.0,76.0
40,0,110.0,20.0,20.0,80.0
41,1,90.0,0.0,0.0,80.0
42,0,110.0,20.0,20.0,84.0
43,1,90.0,0.0,0.0,84.0
44,0,110.0,20.0,20.0,88.0
45,1,90.0,0.0,0.0,88.0
46,0,110.0,20.0,20.0,92.0
47,1,90.0,0.0,0.0,92.0
48,0,110.0,20.0,20.0,96.0
49,1,90.0,0.0,0.0,96.0
50,0,110.0,20.0,20.0,100.0
51,1,90.0,0.0,0.0,100.0
52,0,110.0,20.0,20.0,104.0
53,1,90.0,0.0,0.0,104.0
54,0,110.0,20.0,20.0,108.0
55,1,90.0,0.0,0.0,108.0
56,0,110.0,20.0,20.0,112.0
57,1,90.0,0.0,0.0,112.0
58,0,110.0,20.0,20.0,116.0
59,1,90.0,0.0,0.0,116.0
